"away_team_id","wins","games","dogscore"
10194,17,99,0.171717171717172
10205,4,39,0.102564102564103
10211,5,31,0.161290322580645
10212,5,40,0.125
10213,1,10,0.1
10214,5,44,0.113636363636364
10215,9,72,0.125
10217,17,98,0.173469387755102
10218,7,60,0.116666666666667
10219,8,55,0.145454545454545
10228,8,45,0.177777777777778
10229,5,29,0.172413793103448
10233,10,85,0.117647058823529
10235,3,28,0.107142857142857
10238,9,92,0.0978260869565217
10242,3,35,0.0857142857142857
10249,9,55,0.163636363636364
10251,6,38,0.157894736842105
10252,17,87,0.195402298850575
10260,2,9,0.222222222222222
10261,10,73,0.136986301369863
10264,2,22,0.0909090909090909
10267,5,30,0.166666666666667
10268,6,32,0.1875
10269,5,44,0.113636363636364
10278,2,15,0.133333333333333
10281,9,61,0.147540983606557
108893,1,19,0.0526315789473684
158085,3,31,0.0967741935483871
188163,5,17,0.294117647058824
208931,1,16,0.0625
274581,5,25,0.2
