"","home_team_id","wins","games","dogscore"
"167",10205,1,14,0.0714285714285714
"168",10212,6,23,0.260869565217391
"169",10214,5,25,0.2
"170",10215,2,31,0.0645161290322581
"171",10217,10,36,0.277777777777778
"172",10218,5,27,0.185185185185185
"173",10219,5,19,0.263157894736842
"174",10228,3,15,0.2
"175",10229,3,6,0.5
"176",10233,6,21,0.285714285714286
"177",10238,3,30,0.1
"178",10242,2,12,0.166666666666667
"179",10249,1,7,0.142857142857143
"180",10251,2,19,0.105263157894737
"181",10252,4,40,0.1
"182",10261,8,32,0.25
"183",10264,3,10,0.3
"184",10267,1,15,0.0666666666666667
"185",10281,4,12,0.333333333333333
"186",108893,1,13,0.0769230769230769
"187",158085,2,12,0.166666666666667
"188",208931,1,7,0.142857142857143
"189",274581,3,7,0.428571428571429
