"team_id","homewins","hsumodds_wins","homegames","hsumodds_games","homedogscore","awaywins","asumodds_wins","awaygames","asumodds_games","awaydogscore"
1773,3,15.5911111111111,11,52.3400952380952,0.297880831897365,5,21.555873015873,37,58.7887301587302,0.366666756667
2033,1,5.3075,24,145.523722222222,0.0364717169060256,7,37.5126111111111,53,86.3549206349206,0.434400388944849
4087,2,13.1675,14,64.3404642857143,0.204653481229597,12,56.5220317460317,61,103.787138888889,0.54459572111861
6403,5,26.9278888888889,29,180.570015873016,0.149127133642308,8,39.4290595238095,53,81.6435833333333,0.482941315336798
6413,4,16.87025,13,65.7472142857143,0.256592620436933,4,27.589,38,58.5596468253968,0.471126475237465
6433,1,6.21125,10,52.7128571428571,0.117831784059189,6,37.1060714285714,30,45.7711904761905,0.810686177102461
7794,3,17.3141428571429,12,66.6796071428571,0.259661740658554,11,50.3946428571429,65,112.866107142857,0.446499344514091
7819,3,13.3633333333333,12,55.7665277777778,0.239630005055801,14,75.9806349206349,68,120.883234126984,0.628545682694257
7841,2,13.5112698412698,25,150.229888888889,0.0899372950429516,10,46.1680674603175,60,96.2150357142857,0.479842543502404
7844,5,26.6011111111111,22,128.121003968254,0.207624903701991,6,29.1766904761905,40,61.1202103174603,0.477365675357559
7878,4,27.35975,19,175.374908730159,0.156007208774074,17,81.0973055555556,82,134.623788888889,0.602399518130401
7943,3,14.6025,14,72.7591071428571,0.200696525471774,12,55.1346428571429,41,68.9498214285714,0.799634309629933
8066,4,23.8475,17,114.982130952381,0.207401791934751,13,69.5190357142857,50,81.079130952381,0.857422062837789
8165,1,4.98888888888889,13,87.7754722222222,0.0568369359068608,12,57.2445277777778,60,99.7161388888889,0.57407485303421
8177,3,12.8057142857143,17,106.072837301587,0.120725669374761,8,43.8909722222222,53,87.2072222222222,0.503295152669567
8191,4,28.728253968254,13,86.9556150793651,0.33037836535379,4,18.1730158730159,37,60.0756746031746,0.302502069149558
8203,6,25.7488095238095,13,56.3214246031746,0.457176104923279,11,53.5025714285714,50,80.0548412698413,0.668323996149465
8226,3,13.2681111111111,17,99.2266150793651,0.133715244649823,8,37.6049166666667,53,87.5579484126984,0.429486041511828
8277,2,8.74755555555556,16,80.0858888888889,0.109227176933653,13,75.3927023809524,56,86.0196031746032,0.876459546411994
8284,3,11.989,16,86.7736865079365,0.138164004348294,5,24.3684642857143,35,56.8390079365079,0.428727825667455
8302,5,22.4189087301587,13,70.4330873015873,0.31830080987595,4,15.9674404761905,30,45.9101547619048,0.347797574610659
8305,4,30.0929841269841,26,197.115642857143,0.152666646293484,12,64.7787301587302,86,140.139142857143,0.46224579969613
8315,3,18.1996825396825,19,108.697242063492,0.1674346303014,5,21.4455396825397,54,85.3090674603175,0.251386403825307
8358,4,18.461626984127,23,124.135448412698,0.148721636085365,18,82.3401031746032,75,121.562595238095,0.677347361771357
8370,1,3.51,19,147.241904761905,0.0238383224237407,13,62.5906746031746,65,105.705188095238,0.592124906364877
8371,3,25.2276388888889,13,112.125805555556,0.2249940481042,14,59.8942222222222,81,137.662166666667,0.435081211290603
8372,1,3.87714285714286,11,86.1171428571429,0.0450217311967088,6,25.7114285714286,33,55.9816071428571,0.459283501915489
8394,1,4.30333333333333,10,88.721,0.0485041121418078,9,51.2943333333333,57,93.8034444444444,0.546827823190572
8406,2,11.9008333333333,14,103.093321428571,0.115437480997049,10,49.2423373015873,51,83.6209623015873,0.588875515734798
8462,1,5.85,11,66.7644444444445,0.0876214884835574,2,7.15,27,43.4477777777778,0.164565378615452
8464,3,12.421130952381,25,129.061416666667,0.0962420161903354,10,51.3876984126984,73,114.518,0.448730316742332
8466,4,16.7332857142857,13,56.7361071428571,0.294931861859196,6,27.8259642857143,31,51.2213214285714,0.54324963725346
8467,4,25.9672380952381,23,151.147988095238,0.171800090907437,12,67.8136904761905,49,80.3010396825397,0.844493305993093
8472,9,48.2600079365079,43,229.615408730159,0.210177566929851,18,108.318571428571,102,167.049099206349,0.648423558960768
8475,2,9.99142857142857,15,71.92375,0.138916958187366,9,47.6008571428571,41,63.6201571428571,0.7482040171006
8481,2,7.51666666666667,14,57.9331111111111,0.129747333131312,15,78.0571111111111,65,113.083333333333,0.690261852124785
8485,5,23.4764484126984,20,106.839571428571,0.219735516520616,4,15.5233333333333,33,50.3635753968254,0.308225403201057
8521,2,8.4,10,43.2451111111111,0.194241609841575,6,30.9065555555556,48,83.0385555555556,0.372195245314426
8524,4,18.0710555555556,25,120.214996031746,0.150322806239443,14,75.3753928571429,84,141.353408730159,0.533240715836101
8525,5,29.9405555555556,30,196.103420634921,0.152677375328883,5,27.4304563492063,78,112.351801587302,0.244147899380962
8526,3,14.0155555555556,22,149.106825396825,0.0939967403789549,7,44.7933333333333,61,88.0728571428571,0.50859407525155
8528,4,31.0055555555556,28,176.774,0.175396582956518,10,67.5616666666667,73,119.005444444444,0.567719123961649
8529,2,8.92555555555555,24,126.582579365079,0.0705117212836466,17,86.6641031746032,101,175.662702380952,0.493355174433434
8530,5,25.6923611111111,21,100.231166666667,0.256331059146052,7,34.2811666666667,88,150.067316666667,0.22843859294701
8533,5,19.1215555555556,36,172.728873015873,0.110702717048344,25,126.094837301587,123,210.701365079365,0.598452873117794
8537,1,3.76444444444444,12,60.7059722222222,0.0620111054422158,4,22.2104166666667,38,60.8229166666667,0.365165268025347
8540,6,21.8749365079365,20,90.2728095238095,0.242320324617425,14,77.5049841269841,79,136.696587301587,0.566985508979741
8551,2,7.41066666666667,16,104.084,0.0711989034497777,8,35.4138888888889,63,105.361333333333,0.336118457962651
